Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AutoTP2R1	Peptides AutoTP2R2	Peptides AutoTP2R3	Peptides HeteTP4R1	Peptides HeteTP4R2	Peptides HeteTP4R3	Peptides MixoTP4R1	Peptides MixoTP4R2	Peptides MixoTP4R3	Razor + unique peptides AutoTP2R1	Razor + unique peptides AutoTP2R2	Razor + unique peptides AutoTP2R3	Razor + unique peptides HeteTP4R1	Razor + unique peptides HeteTP4R2	Razor + unique peptides HeteTP4R3	Razor + unique peptides MixoTP4R1	Razor + unique peptides MixoTP4R2	Razor + unique peptides MixoTP4R3	Unique peptides AutoTP2R1	Unique peptides AutoTP2R2	Unique peptides AutoTP2R3	Unique peptides HeteTP4R1	Unique peptides HeteTP4R2	Unique peptides HeteTP4R3	Unique peptides MixoTP4R1	Unique peptides MixoTP4R2	Unique peptides MixoTP4R3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type AutoTP2R1	Identification type AutoTP2R2	Identification type AutoTP2R3	Identification type HeteTP4R1	Identification type HeteTP4R2	Identification type HeteTP4R3	Identification type MixoTP4R1	Identification type MixoTP4R2	Identification type MixoTP4R3	Sequence coverage AutoTP2R1 [%]	Sequence coverage AutoTP2R2 [%]	Sequence coverage AutoTP2R3 [%]	Sequence coverage HeteTP4R1 [%]	Sequence coverage HeteTP4R2 [%]	Sequence coverage HeteTP4R3 [%]	Sequence coverage MixoTP4R1 [%]	Sequence coverage MixoTP4R2 [%]	Sequence coverage MixoTP4R3 [%]	Intensity	Intensity AutoTP2R1	Intensity AutoTP2R2	Intensity AutoTP2R3	Intensity HeteTP4R1	Intensity HeteTP4R2	Intensity HeteTP4R3	Intensity MixoTP4R1	Intensity MixoTP4R2	Intensity MixoTP4R3	LFQ intensity AutoTP2R1	LFQ intensity AutoTP2R2	LFQ intensity AutoTP2R3	LFQ intensity HeteTP4R1	LFQ intensity HeteTP4R2	LFQ intensity HeteTP4R3	LFQ intensity MixoTP4R1	LFQ intensity MixoTP4R2	LFQ intensity MixoTP4R3	MS/MS count AutoTP2R1	MS/MS count AutoTP2R2	MS/MS count AutoTP2R3	MS/MS count HeteTP4R1	MS/MS count HeteTP4R2	MS/MS count HeteTP4R3	MS/MS count MixoTP4R1	MS/MS count MixoTP4R2	MS/MS count MixoTP4R3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
g7126.t1	g7126.t1	3	3	3		1	3	3	3	3	1	1	0	1	1	1	2	3	3	1	1	0	1	1	1	2	3	3	1	1	0	1	1	1	2	3	16.3	16.3	16.3	25.804	246	246	1	13	0	26.842	By MS/MS	By matching	By matching		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	16.3	4.1	8.5	0	8.5	8.5	8.5	12.6	16.3	17434000	2054000	1151600	11316	0	2260500	1854200	1391600	6094800	2615700	0	0	0	0	0	0	0	0	3225100	2	0	0	0	0	0	1	0	1	4				575	201;1856;3174	True;True;True	207;1980;3417	1333;1334;13127;13128;13129;13130;13131;13132;13133;22779;22780;22781;22782	508;509;4662;4663;8075;8076	509;4663;8075		
g7131.t1	g7131.t1	24	24	24		1	24	24	24	21	14	12	14	17	21	23	22	18	21	14	12	14	17	21	23	22	18	21	14	12	14	17	21	23	22	18	52.3	52.3	52.3	77.531	719	719	1	207	0	308.14	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	44.5	26	22.7	25	38.8	50.1	51.3	50.3	37.7	514800000	64825000	18060000	7405800	24561000	43041000	116970000	113280000	111050000	15605000	78317000	45324000	19515000	46183000	33615000	48611000	65354000	47803000	26574000	11	4	2	7	7	9	13	15	6	74				576	358;616;617;637;751;774;959;1003;1045;1087;1584;1914;1916;2029;2215;2262;2514;2889;2923;3083;3481;3618;3619;3638	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	380;651;652;672;794;817;818;1015;1060;1108;1153;1689;2044;2046;2167;2371;2436;2716;2717;2718;3112;3148;3321;3744;3889;3890;3911	2460;2461;2462;2463;2464;2465;2466;2467;2468;4250;4251;4252;4253;4254;4255;4256;4257;4258;4396;4397;4398;4399;4400;4401;4402;5232;5233;5234;5235;5236;5237;5393;5394;5395;5396;5397;5398;5399;5400;5401;5402;5403;5404;5405;5406;5407;6747;6748;6749;6750;6751;6752;6753;7048;7049;7050;7051;7052;7053;7054;7055;7056;7359;7360;7361;7362;7363;7364;7365;7366;7367;7368;7369;7370;7667;7668;7669;7670;7671;7672;7673;7674;7675;7676;7677;7678;7679;11200;11201;11202;11203;11204;11205;11206;11207;11208;11209;11210;11211;13546;13547;13548;13549;13550;13551;13560;13561;13562;13563;13564;14371;14372;14373;14374;14375;14376;14377;14378;14379;14380;14381;14382;14383;15800;15801;15802;15803;15804;16236;16237;16238;16239;16240;18143;18144;18145;18146;18147;18148;18149;18150;18151;18152;18153;18154;18155;18156;18157;18158;18159;18160;18161;18162;18163;18164;18165;18166;18167;18168;18169;18170;18171;18172;18173;20756;20757;20758;20759;20760;20761;20762;20763;20960;20961;20962;20963;20964;20965;20966;20967;22187;22188;22189;25056;25057;25058;25059;25060;25061;25993;25994;25995;25996;25997;25998;25999;26000;26001;26002;26003;26004;26137;26138;26139;26140;26141;26142	905;1520;1521;1572;1860;1861;1918;1919;1920;2392;2393;2394;2395;2396;2486;2487;2488;2610;2611;2612;2613;2614;2615;2616;2617;2727;2728;3985;3986;3987;3988;4835;4837;5132;5133;5616;5748;6402;6403;6404;6405;6406;6407;6408;6409;6410;6411;7365;7366;7367;7368;7369;7431;7432;7433;7434;7435;7436;7437;7869;8943;8944;8945;8946;9288;9289;9290;9291;9292;9293;9294;9295;9296;9297;9298;9334;9335	905;1520;1521;1572;1861;1920;2392;2488;2610;2727;3987;4835;4837;5133;5616;5748;6407;7369;7435;7869;8944;9292;9298;9335	329;330;331	93;579;582
g7155.t1	g7155.t1	7	7	7		1	7	7	7	7	5	4	4	3	6	7	5	7	7	5	4	4	3	6	7	5	7	7	5	4	4	3	6	7	5	7	49.8	49.8	49.8	26.692	245	245	1	48	0	43.925	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	49.8	29.8	22	24.9	15.9	43.7	49.8	39.2	49.8	27805000	3175200	1007400	1246300	1764100	1674000	3642000	7757300	4022600	3515900	3413300	2740200	2744300	1704500	3129600	3153200	3009300	3145200	3200300	4	1	0	0	0	1	1	2	0	9				577	353;513;776;1000;1166;2346;3383	True;True;True;True;True;True;True	375;543;820;1057;1233;2540;3637	2426;2427;2428;2429;2430;2431;2432;3541;3542;3543;3544;3545;3546;3547;3548;3549;5412;5413;5414;5415;5416;5417;5418;7024;7025;7026;7027;7028;8186;8187;8188;8189;8190;16929;16930;16931;16932;16933;16934;24294;24295;24296;24297;24298;24299;24300;24301;24302	894;1279;1922;1923;2479;2925;5994;5995;8659;8660	894;1279;1923;2479;2925;5994;8659		
g7165.t1	g7165.t1	4	4	4		1	4	4	4	4	2	2	1	1	2	2	2	3	4	2	2	1	1	2	2	2	3	4	2	2	1	1	2	2	2	3	18.1	18.1	18.1	38.114	342	342	1	19	0	23.788	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	18.1	9.4	9.1	4.1	4.1	9.4	9.4	7.9	13.2	3852600	781790	352170	115830	59626	249680	551380	860410	501880	379810	698800	463280	433470	0	0	459280	581460	0	479960	4	1	0	0	0	0	0	1	0	6				578	889;1287;1939;3442	True;True;True;True	941;1368;2072;3702	6229;6230;9101;9102;9103;13737;13738;13739;13740;13741;24777;24778;24779;24780;24781;24782;24783;24784;24785	2212;3266;3267;4902;8850;8851	2212;3267;4902;8850		
g7188.t1	g7188.t1	32	32	27		1	32	32	27	29	28	25	20	27	26	28	28	28	29	28	25	20	27	26	28	28	28	24	23	22	15	22	21	24	24	24	56.2	56.2	46.6	70.832	642	642	1	355	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	51.2	49.4	46.7	35.4	50.9	49.5	50.6	51.4	49.8	545630000	71456000	21562000	17520000	21952000	48893000	76834000	112190000	110460000	64760000	63777000	37106000	37887000	29781000	32133000	50085000	66965000	74936000	75870000	19	9	14	9	8	10	26	20	11	126				579	419;449;524;568;866;937;942;1028;1319;1542;1543;1651;1690;2083;2147;2172;2173;2198;2239;2289;2335;2409;2410;2431;2491;2623;2743;2968;3023;3123;3466;3467	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	441;442;474;554;600;601;916;992;997;1090;1406;1643;1644;1761;1806;2223;2291;2316;2317;2348;2349;2407;2473;2474;2526;2527;2606;2607;2608;2609;2631;2693;2834;2959;3193;3194;3255;3362;3728;3729	2882;2883;2884;2885;2886;2887;2888;2889;2890;2891;2892;2893;3075;3076;3077;3078;3079;3080;3626;3627;3628;3629;3630;3631;3632;3633;3634;3635;3636;3637;3638;3639;3640;3899;3900;3901;3902;3903;3904;3905;3906;3907;3908;3909;3910;3911;3912;6069;6070;6071;6072;6073;6074;6075;6076;6077;6078;6079;6080;6081;6082;6083;6084;6085;6086;6589;6590;6591;6631;6632;6633;6634;6635;6636;7232;7233;7234;7235;7236;9371;9372;9373;9374;9375;9376;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;10906;10907;10908;10909;10910;10911;10912;10913;10914;10915;10916;10917;10918;10919;11714;11715;11716;11717;11718;12080;12081;12082;12083;12084;12085;12086;12087;12088;12089;12090;12091;12092;14774;14775;14776;14777;14778;14779;14780;14781;14782;14783;14784;14785;14786;14787;14788;14789;15239;15240;15241;15242;15243;15244;15245;15246;15410;15411;15412;15413;15414;15415;15416;15417;15418;15419;15420;15421;15422;15423;15424;15425;15426;15427;15428;15429;15430;15431;15432;15617;15618;15619;15620;15621;15622;15623;15624;15625;15626;15627;15628;15629;15630;15631;15632;15633;15634;15635;15636;15637;15638;15639;16074;16075;16458;16459;16460;16461;16462;16463;16464;16465;16466;16467;16468;16842;16843;16844;16845;16846;16847;16848;17355;17356;17357;17358;17359;17360;17361;17362;17363;17364;17365;17366;17367;17368;17369;17370;17371;17372;17373;17374;17375;17376;17377;17378;17379;17380;17381;17382;17383;17384;17385;17386;17387;17388;17529;17530;17531;17532;17533;17534;17535;17536;17975;17976;17977;17978;17979;17980;18923;18924;18925;18926;18927;18928;18929;19699;19700;19701;19702;19703;19704;19705;19706;19707;19708;19709;19710;21297;21298;21299;21300;21301;21302;21303;21304;21305;21306;21307;21308;21309;21310;21311;21312;21313;21314;21315;21316;21317;21318;21319;21702;21703;21704;21705;21706;21707;21708;21709;21710;21711;21712;21713;21714;21715;22457;22458;22459;22460;22461;22462;22463;22464;22465;24928;24929;24930;24931;24932;24933;24934;24935;24936;24937;24938;24939;24940;24941;24942;24943;24944;24945;24946;24947;24948;24949;24950;24951;24952	1048;1049;1106;1107;1303;1304;1305;1405;1406;1407;1408;1409;1410;1411;1412;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2347;2359;2559;2560;3374;3375;3883;3884;3885;3886;3887;3888;3889;3890;3891;3892;3893;3894;3895;4166;4167;4305;4306;4307;4308;5259;5260;5261;5262;5263;5264;5428;5429;5430;5477;5478;5479;5480;5481;5482;5483;5484;5485;5486;5487;5488;5489;5490;5491;5492;5544;5545;5546;5547;5548;5549;5550;5551;5552;5697;5825;5826;5968;5969;5970;6126;6127;6128;6129;6130;6131;6132;6133;6134;6135;6136;6137;6138;6139;6140;6192;6364;6647;6648;6649;6938;6939;6940;6941;7561;7562;7563;7564;7565;7566;7567;7568;7569;7707;7708;7709;7710;7711;7957;7958;7959;7960;8903;8904;8905;8906;8907	1049;1106;1303;1411;2161;2347;2359;2559;3375;3886;3893;4166;4305;5264;5428;5483;5486;5546;5697;5826;5968;6131;6139;6192;6364;6649;6940;7565;7710;7958;8904;8905	332;333;334;335;336;337;338;339	60;122;127;172;311;330;522;553
g7199.t1	g7199.t1	10	10	10		1	10	10	10	8	5	6	3	5	7	8	8	8	8	5	6	3	5	7	8	8	8	8	5	6	3	5	7	8	8	8	25.2	25.2	25.2	57.38	516	516	1	58	0	77.15	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.6	15.9	15.9	11.2	13.2	19.8	19.6	19.6	19	51676000	5447100	626450	2642700	674950	5149600	11229000	9939100	12365000	3602200	3918700	1200300	4641500	3463100	6168700	8955000	5886100	6219000	3105600	4	0	2	0	4	3	4	4	1	22				580	117;1436;1760;1969;2122;2593;3057;3250;3251;3472	True;True;True;True;True;True;True;True;True;True	119;1531;1879;2102;2265;2803;3292;3497;3498;3735	768;769;770;771;772;773;774;10173;12544;12545;13932;13933;13934;13935;15058;15059;15060;15061;15062;15063;15064;15065;18715;18716;18717;18718;18719;18720;18721;18722;21977;21978;21979;21980;21981;21982;21983;21984;21985;23333;23334;23335;23336;23337;23338;23339;23340;23341;23342;23343;23344;23345;24994;24995;24996;24997;24998;24999	274;275;3634;4454;4974;4975;5360;6573;6574;7784;7785;7786;7787;8302;8303;8304;8305;8306;8307;8925;8926;8927;8928	274;3634;4454;4975;5360;6573;7784;8303;8307;8927	340	120
g7201.t1	g7201.t1	4	4	4		1	4	4	4	3	4	3	1	4	2	3	3	3	3	4	3	1	4	2	3	3	3	3	4	3	1	4	2	3	3	3	63.3	63.3	63.3	10.889	98	98	1	39	0	59.584	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	49	63.3	49	20.4	63.3	30.6	49	49	44.9	149400000	13744000	11578000	9545500	45474000	40128000	9113300	4673600	8605900	6535300	13869000	6362300	30948000	93205000	14089000	5920000	2612900	3116400	7889200	4	0	4	2	2	1	2	2	2	19				581	146;1585;2485;3438	True;True;True;True	148;1690;2687;3698	966;967;968;969;970;971;11212;11213;11214;11215;11216;11217;11218;11219;11220;11221;11222;11223;11224;11225;17944;17945;17946;24743;24744;24745;24746;24747;24748;24749;24750;24751;24752;24753;24754;24755;24756;24757;24758	351;3989;3990;3991;6353;6354;8825;8826;8827;8828;8829;8830;8831;8832;8833;8834;8835;8836;8837;8838;8839	351;3990;6354;8827		
g7238.t1	g7238.t1	2	2	2		1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	11.8	11.8	11.8	28.636	289	289	1	17	0	27.08	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By matching	11.8	11.8	11.8	6.2	11.8	11.8	11.8	11.8	11.8	4271400	428910	299810	173340	635790	482480	482460	591230	668340	509030	444150	0	310030	0	0	0	0	503200	0	1	0	1	0	0	0	0	1	0	3				582	1600;2387	True;True	1706;2582	11314;11315;11316;11317;11318;11319;11320;11321;11322;17206;17207;17208;17209;17210;17211;17212;17213	4013;6080;6081	4013;6080		
g7284.t1	g7284.t1	2	2	2		1	2	2	2	2	2	2	2	1	1	2	1	1	2	2	2	2	1	1	2	1	1	2	2	2	2	1	1	2	1	1	4	4	4	68.21	650	650	1	14	0	13.168	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	4	4	4	4	2	2	4	2	2	7950200	1657900	1186900	839130	503640	308720	779690	1406500	847170	420580	0	0	0	0	0	0	963080	0	0	1	1	0	0	0	0	0	0	0	2				583	1092;3373	True;True	1158;3627	7706;7707;7708;7709;7710;24216;24217;24218;24219;24220;24221;24222;24223;24224	2738;8638;8639	2738;8638		
g7307.t1	g7307.t1	2	2	2		1	2	2	2	1	1	1	0	1	2	1	2	2	1	1	1	0	1	2	1	2	2	1	1	1	0	1	2	1	2	2	24.7	24.7	24.7	17.337	158	158	1	11	0	13.219	By MS/MS	By MS/MS	By matching		By matching	By matching	By matching	By MS/MS	By matching	12.7	12	12	0	12	24.7	12.7	24.7	24.7	3570600	64656	329030	559440	0	693200	790330	99962	756570	277360	0	0	0	0	0	0	0	0	341970	0	1	0	0	0	0	0	1	0	2				584	2927;3613	True;True	3152;3884	20990;20991;20992;20993;20994;20995;25958;25959;25960;25961;25962	7448;9280;9281	7448;9280		
g7312.t1	g7312.t1	2	2	2		1	2	2	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	1	1	11	11	11	31.489	290	290	1	4	0	12.653							By MS/MS	By matching	By matching	0	0	0	0	0	0	11	7.6	7.6	643850	0	0	0	0	0	0	556420	52755	34679	0	0	0	0	0	0	381000	0	0	0	0	0	0	0	0	2	0	0	2				585	2206;3554	True;True	2358;3823	15684;15685;15686;25572	5562;9119	5562;9119		
g7315.t1	g7315.t1	6	6	6		1	6	6	6	6	5	6	5	5	4	5	3	6	6	5	6	5	5	4	5	3	6	6	5	6	5	5	4	5	3	6	47.8	47.8	47.8	21.459	207	207	1	63	0	63.289	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	47.8	33.3	47.8	33.3	32.9	18.4	44	29	47.8	51163000	9806500	6516400	5655900	2816400	4725100	4620400	6094000	6892200	4035900	9997800	7883400	12883000	3764400	3848300	4314200	5244600	6094700	4793400	5	4	3	3	1	2	4	1	1	24				586	119;714;1082;1100;2594;2746	True;True;True;True;True;True	121;755;1147;1148;1166;2804;2962	784;785;786;787;788;789;790;791;4962;4963;4964;4965;4966;4967;4968;4969;4970;4971;7620;7621;7622;7623;7624;7625;7626;7627;7628;7629;7630;7747;7748;7749;7750;7751;7752;18723;18724;18725;18726;18727;18728;18729;18730;18731;18732;18733;18734;18735;18736;18737;18738;18739;18740;18741;19736;19737;19738;19739;19740;19741;19742;19743;19744	279;280;1761;1762;2704;2705;2706;2707;2708;2709;2710;2755;2756;6575;6576;6577;6578;6579;6580;6581;6582;6951;6952;6953	279;1761;2704;2755;6576;6951	341	154
g7349.t1	g7349.t1	7	7	7		1	7	7	7	3	2	1	2	4	6	5	4	3	3	2	1	2	4	6	5	4	3	3	2	1	2	4	6	5	4	3	17.1	17.1	17.1	71.897	649	649	1	30	0	47.592	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	7.7	4.3	2.8	4.6	10.8	15.3	13.7	10.8	6.9	12202000	253070	91060	188850	625250	1697900	3259600	2687100	2875700	523270	639410	527710	0	0	1912800	1029000	1773000	1228300	813250	0	0	0	1	2	2	4	0	0	9				587	245;425;484;962;1458;2470;3560	True;True;True;True;True;True;True	255;448;511;1018;1553;2672;3830	1620;1621;1622;1623;1624;1625;2922;3327;3328;3329;3330;3331;6771;6772;6773;10296;10297;17842;17843;17844;17845;17846;17847;17848;17849;17850;25615;25616;25617;25618	628;1057;1195;2402;3681;6315;6316;6317;9132	628;1057;1195;2402;3681;6317;9132		
g7365.t1	g7365.t1	4	4	4		1	4	4	4	3	3	4	4	4	4	4	4	3	3	3	4	4	4	4	4	4	3	3	3	4	4	4	4	4	4	3	51.4	51.4	51.4	11.557	111	111	1	41	0	41.222	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	51.4	51.4	51.4	51.4	51.4	51.4	51.4	51.4	22.5	44696000	4311600	3939000	5962900	3831100	9322500	4119000	4625200	6624300	1960400	6677600	4216000	20582000	3967300	3995200	1429900	2355400	3251100	4830600	2	1	3	0	0	1	0	2	2	11				588	564;2634;2856;3426	True;True;True;True	596;2845;3078;3686	3874;3875;3876;3877;3878;3879;3880;3881;18989;18990;18991;18992;18993;18994;18995;18996;18997;18998;18999;19000;19001;19002;19003;19004;19005;20541;20542;20543;20544;20545;20546;20547;20548;20549;24641;24642;24643;24644;24645;24646;24647	1395;1396;1397;1398;6673;6674;6675;6676;6677;7290;8785;8786	1395;6675;7290;8785		
g7379.t1	g7379.t1	3	3	3		1	3	3	3	3	1	2	1	2	1	3	3	2	3	1	2	1	2	1	3	3	2	3	1	2	1	2	1	3	3	2	21.7	21.7	21.7	18.3	175	175	1	18	0	100.2	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	21.7	9.7	19.4	9.7	12	9.7	21.7	21.7	12	25529000	2055200	253870	702270	1644700	4655800	2515800	5521000	7246300	933970	1307700	0	1875400	0	5633300	0	2636200	4132400	0	1	0	0	0	1	0	2	2	0	6				589	516;2685;3521	True;True;True	546;2898;3787	3568;3569;3570;3571;3572;3573;3574;3575;3576;19337;19338;19339;19340;19341;25329;25330;25331;25332	1288;1289;6801;6802;9037;9038	1289;6802;9037		
g739.t1	g739.t1	3	3	3		1	3	3	3	1	1	0	1	1	1	3	2	2	1	1	0	1	1	1	3	2	2	1	1	0	1	1	1	3	2	2	8.6	8.6	8.6	40.455	384	384	1	12	0	21.215	By MS/MS	By matching		By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	2.3	3.6	0	2.6	3.6	2.6	8.6	6.2	6.2	3831500	139180	27809	0	332040	87166	1150200	445130	1349100	300990	0	0	0	0	0	0	0	800490	379870	1	0	0	0	0	0	1	1	1	4				590	1006;2252;2742	True;True;True	1063;2424;2958	7071;7072;7073;7074;7075;16157;16158;19694;19695;19696;19697;19698	2494;5720;6936;6937	2494;5720;6936		
g7396.t1	g7396.t1	5	5	5		1	5	5	5	4	1	1	1	2	3	3	3	2	4	1	1	1	2	3	3	3	2	4	1	1	1	2	3	3	3	2	23	23	23	43.342	395	395	1	20	0	45.793	By MS/MS	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	19.2	3	5.6	3	7.8	12.4	12.4	12.4	8.6	4265400	1308500	61751	67484	109290	432150	841840	761460	429720	253200	1256400	0	0	0	399000	395350	625390	254470	313820	4	0	0	0	0	0	2	0	0	6				591	176;1375;1985;2658;3079	True;True;True;True;True	181;1466;2118;2870;3317	1179;1180;1181;9757;9758;9759;9760;9761;9762;9763;9764;14050;19149;19150;22156;22157;22158;22159;22160;22161	427;3509;5018;6724;7854;7855	427;3509;5018;6724;7854		
g7401.t1	g7401.t1	6	6	6		1	6	6	6	5	5	3	3	2	4	6	5	2	5	5	3	3	2	4	6	5	2	5	5	3	3	2	4	6	5	2	15.1	15.1	15.1	69.546	629	629	1	35	0	46.252	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	10.7	10.7	5.6	6.2	4.6	9.1	15.1	12.2	4	13969000	2077800	893480	217500	357060	477170	1786900	4965500	2941300	252250	2281700	1010700	884350	611170	728670	986110	3103200	1810300	0	1	0	1	0	0	1	4	2	0	9				592	947;1381;1394;1478;2532;2578	True;True;True;True;True;True	1002;1472;1487;1573;2738;2788	6658;6659;6660;6661;6662;6663;6664;9803;9804;9805;9806;9907;9908;9909;9910;9911;9912;10431;10432;18300;18301;18302;18303;18304;18305;18306;18611;18612;18613;18614;18615;18616;18617;18618;18619	2367;3522;3551;3552;3712;6452;6453;6454;6550;6551	2367;3522;3551;3712;6452;6551		
g7406.t1;g8356.t2;g8356.t1	g7406.t1	9;1;1	9;1;1	9;1;1		3	9	9	9	9	7	6	5	6	7	9	6	6	9	7	6	5	6	7	9	6	6	9	7	6	5	6	7	9	6	6	49.8	49.8	49.8	25.542	227	227;358;359	1	75	0	73.152	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	49.8	29.1	33	28.6	39.2	41.9	49.8	40.5	32.2	112160000	15954000	10571000	3340500	7234900	15497000	26185000	20124000	9596200	3653500	11126000	21986000	7296700	12303000	13026000	12708000	8055800	10183000	7033600	1	2	3	1	1	3	4	2	3	20				593	112;113;765;845;1397;2758;3116;3588;3647	True;True;True;True;True;True;True;True;True	113;114;115;808;893;1490;2974;3355;3859;3920	725;726;727;728;729;730;731;732;733;734;735;736;737;738;739;740;741;742;743;744;745;5332;5333;5334;5335;5336;5337;5338;5339;5340;5341;5342;5934;5935;5936;5937;5938;9923;9924;9925;9926;9927;9928;9929;19853;19854;19855;19856;19857;22402;22403;22404;22405;22406;22407;25797;25798;25799;25800;25801;25802;25803;26202;26203;26204;26205;26206;26207;26208;26209;26210;26211;26212;26213;26214	262;263;264;265;266;267;1901;1902;1903;2123;3556;3557;6988;7936;9211;9212;9213;9366;9367;9368;9369;9370;9371;9372;9373;9374	264;267;1901;2123;3556;6988;7936;9213;9369	342	7
g7416.t1	g7416.t1	3	3	3		1	3	3	3	3	0	2	2	3	3	2	3	3	3	0	2	2	3	3	2	3	3	3	0	2	2	3	3	2	3	3	6.1	6.1	6.1	76.106	690	690	1	25	0	34.722	By MS/MS		By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	6.1	0	3.5	3.5	6.1	6.1	4.5	6.1	6.1	8537400	756150	0	153460	390180	1268500	3616400	1026300	889730	436630	780270	0	0	770930	817520	1623000	945020	549870	544740	2	0	0	1	0	1	1	1	0	6				594	2656;3040;3117	True;True;True	2867;2868;3273;3356	19130;19131;19132;19133;19134;19135;19136;19137;19138;19139;21819;21820;21821;21822;21823;21824;21825;21826;22408;22409;22410;22411;22412;22413;22414	6719;6720;7744;7745;7746;7937	6720;7746;7937	343	78
g7422.t1	g7422.t1	3	3	3		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	19.9	19.9	19.9	15.169	141	141	1	40	0	53.946	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	19.9	19.9	19.9	19.9	19.9	19.9	19.9	19.9	19.9	57429000	7054200	6723000	10160000	6038700	7324500	6297300	6500600	4239800	3090800	5049200	7808700	21446000	16985000	6457000	2533900	3225200	2058900	8217900	2	2	2	2	1	2	0	2	0	13				595	270;1307;1308	True;True;True	282;1394;1395	1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;9288;9289;9290;9291;9292;9293;9294;9295;9296;9297;9298;9299;9300;9301;9302;9303;9304;9305;9306;9307;9308;9309;9310	690;691;3345;3346;3347;3348;3349;3350;3351;3352;3353;3354;3355;3356	690;3347;3353		
